x0000,y0000
-0.9300533491,56.25,
-0.9282750445,0,
-0.9264967398,0,
-0.9247184351,56.25,
-0.9229401304,56.25,
-0.9211618257,56.25,
-0.919383521,0,
-0.9176052164,0,
-0.9158269117,56.25,
-0.914048607,56.25,
-0.9122703023,0,
-0.9104919976,56.25,
-0.9087136929,168.75,
-0.9069353883,0,
-0.9051570836,112.5,
-0.9033787789,112.5,
-0.9016004742,0,
-0.8998221695,56.25,
-0.8980438648,0,
-0.8962655602,56.25,
-0.8944872555,56.25,
-0.8927089508,56.25,
-0.8909306461,168.75,
-0.8891523414,0,
-0.8873740368,168.75,
-0.8855957321,112.5,
-0.8838174274,0,
-0.8820391227,56.25,
-0.880260818,56.25,
-0.8784825133,168.75,
-0.8767042087,0,
-0.874925904,0,
-0.8731475993,112.5,
-0.8713692946,0,
-0.8695909899,168.75,
-0.8678126852,0,
-0.8660343806,0,
-0.8642560759,56.25,
-0.8624777712,168.75,
-0.8606994665,0,
-0.8589211618,112.5,
-0.8571428571,56.25,
-0.8553645525,0,
-0.8535862478,56.25,
-0.8518079431,56.25,
-0.8500296384,168.75,
-0.8482513337,168.75,
-0.846473029,112.5,
-0.8446947244,0,
-0.8429164197,0,
-0.841138115,168.75,
-0.8393598103,225,
-0.8375815056,0,
-0.8358032009,225,
-0.8340248963,0,
-0.8322465916,56.25,
-0.8304682869,112.5,
-0.8286899822,112.5,
-0.8269116775,0,
-0.8251333729,56.25,
-0.8233550682,56.25,
-0.8215767635,56.25,
-0.8197984588,56.25,
-0.8180201541,56.25,
-0.8162418494,0,
